resolved_openml_id,dataset_name,source_pools,objective_eligible,suspected_issue,evidence,proposed_decision,semantic_decision,semantic_decision_reason,review_status,final_decision
1590,adult,openml_cc18,False,,,,,,,EXCLUDE
1600,SPECTF,climb,False,,,,,,,EXCLUDE
4134,Bioresponse,openml_cc18,False,,,,,,,EXCLUDE
4534,PhishingWebsites,openml_cc18,False,,,,,,,EXCLUDE
4538,GesturePhaseSegmentationProcessed,openml_cc18,False,,,,,,,EXCLUDE
6332,cylinder-bands,openml_cc18,False,,,,,,,EXCLUDE
23381,dresses-sales,openml_cc18,False,,,,,,,EXCLUDE
23517,numerai28.6,openml_cc18,False,,,,,,,EXCLUDE
40499,texture,openml_cc18,False,,,,,,,EXCLUDE
40668,connect-4,openml_cc18,False,,,,,,,EXCLUDE
40670,dna,openml_cc18,False,,,,,,,EXCLUDE
40671,ecoli,climb,False,,,,,,,EXCLUDE
40701,churn,openml_cc18,True,,,,KEEP,openml_cc18_curated_benchmark_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR,KEEP
40707,allbp,climb,False,,,,,,,EXCLUDE
40713,dis,climb,False,,,,,,,EXCLUDE
40900,Satellite,climb,False,,,,,,,EXCLUDE
40923,Devnagari-Script,openml_cc18,False,,,,,,,EXCLUDE
40927,CIFAR_10,openml_cc18,False,,,,,,,EXCLUDE
40966,MiceProtein,openml_cc18,False,,,,,,,EXCLUDE
40975,car,openml_cc18,False,,,,,,,EXCLUDE
40978,Internet-Advertisements,openml_cc18,False,,,,,,,EXCLUDE
40979,mfeat-pixel,openml_cc18,False,,,,,,,EXCLUDE
40982,steel-plates-fault,openml_cc18,False,,,,,,,EXCLUDE
40983,wilt,climb;openml_cc18,True,,,,KEEP,openml_cc18_curated_benchmark_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR,KEEP
40984,segment,openml_cc18,False,,,,,,,EXCLUDE
40994,climate-model-simulation-crashes,openml_cc18,False,,,,,,,EXCLUDE
40996,Fashion-MNIST,openml_cc18,False,,,,,,,EXCLUDE
41027,jungle_chess_2pcs_raw_endgame_complete,openml_cc18,False,,,,,,,EXCLUDE
41150,MiniBooNE,climb,False,,,,,,,EXCLUDE
41156,ada,climb,False,,,,,,,EXCLUDE
41168,jannis,climb,False,,,,,,,EXCLUDE
41169,helena,climb,False,,,,,,,EXCLUDE
41671,microaggregation2,climb,False,,,,,,,EXCLUDE
41945,ilpd-numeric,climb,False,,,,,,,EXCLUDE
41946,Sick_numeric,climb,False,,,,,,,EXCLUDE
42178,telco-customer-churn,climb,True,,,,KEEP,climb_official_list_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR,KEEP
42397,CreditCardFraudDetection,climb,False,,,,,,,EXCLUDE
42477,default-of-credit-card-clients,climb,False,,,,,,,EXCLUDE
43439,Medical-Appointment-No-Shows,climb,False,,,,,,,EXCLUDE
43551,Employee-Turnover-at-TECHCO,climb,False,,,,,,,EXCLUDE
43893,ibm-employee-attrition,climb,False,,,,,,,EXCLUDE
43903,Diabetes-130-Hospitals_(Fairlearn),climb,False,,,,,,,EXCLUDE
43904,law-school-admission-bianry,climb,False,,,,,,,EXCLUDE
43925,eucalyptus,climb,False,,,,,,,EXCLUDE
44232,UCI_churn,climb,False,A_duplicate_derivative,,,EXCLUDE,"Probable subset/variant of the 5,000-row classic telecom churn dataset; excluded conservatively to preserve dataset-level independence.",HUMAN_RESOLVED_V1_1,EXCLUDE
45067,okcupid_stem,climb,False,,,,,,,EXCLUDE
45068,adult,climb,False,,,,,,,EXCLUDE
45548,Otto-Group-Product-Classification-Challenge,climb,False,,,,,,,EXCLUDE
45558,Pulsar-Dataset-HTRU2,climb,False,,,,,,,EXCLUDE
45560,online-shoppers-intention,climb,False,,,,,,,EXCLUDE
45562,seismic-bumps,climb,False,,,,,,,EXCLUDE
45717,bwin_amlb,climb,False,,,,,,,EXCLUDE
46281,insurance_company,climb,False,,,,,,,EXCLUDE
46362,Customer_Churn_Classification,climb,False,,,,,,,EXCLUDE
46503,Credit_Approval_Classification,climb,False,,,,,,,EXCLUDE
46904,airfoil_self_noise,tabarena_v0.1,False,,,,,,,EXCLUDE
46905,Amazon_employee_access,tabarena_v0.1,False,,,,,,,EXCLUDE
46906,anneal,tabarena_v0.1,False,,,,,,,EXCLUDE
46907,Another-Dataset-on-used-Fiat-500,tabarena_v0.1,False,,,,,,,EXCLUDE
46908,APSFailure,tabarena_v0.1,False,,,,,,,EXCLUDE
46910,bank-marketing,tabarena_v0.1,False,,,,,,,EXCLUDE
46911,Bank_Customer_Churn,tabarena_v0.1,True,,,,KEEP,tabarena_v0.1_curated_iid_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR,KEEP
46912,Bioresponse,tabarena_v0.1,False,,,,,,,EXCLUDE
46913,blood-transfusion-service-center,tabarena_v0.1,False,,,,,,,EXCLUDE
46915,churn,tabarena_v0.1,True,,,,KEEP,tabarena_v0.1_curated_iid_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR,KEEP
46916,coil2000_insurance_policies,tabarena_v0.1,False,,,,,,,EXCLUDE
46917,concrete_compressive_strength,tabarena_v0.1,False,,,,,,,EXCLUDE
46918,credit-g,tabarena_v0.1,False,,,,,,,EXCLUDE
46919,credit_card_clients_default,tabarena_v0.1,False,,,,,,,EXCLUDE
46920,customer_satisfaction_in_airline,tabarena_v0.1,False,,,,,,,EXCLUDE
46921,diabetes,tabarena_v0.1,True,,,,KEEP,tabarena_v0.1_curated_iid_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR,KEEP
46922,Diabetes130US,tabarena_v0.1,False,,,,,,,EXCLUDE
46923,diamonds,tabarena_v0.1,False,,,,,,,EXCLUDE
46924,E-CommereShippingData,tabarena_v0.1,False,,,,,,,EXCLUDE
46927,Fitness_Club,tabarena_v0.1,True,,,,KEEP,tabarena_v0.1_curated_iid_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR,KEEP
46928,Food_Delivery_Time,tabarena_v0.1,False,,,,,,,EXCLUDE
46929,GiveMeSomeCredit,tabarena_v0.1,False,,,,,,,EXCLUDE
46930,hazelnut-spread-contaminant-detection,tabarena_v0.1,False,,,,,,,EXCLUDE
46931,healthcare_insurance_expenses,tabarena_v0.1,False,,,,,,,EXCLUDE
46932,heloc,tabarena_v0.1,False,,,,,,,EXCLUDE
46933,hiva_agnostic,tabarena_v0.1,False,,,,,,,EXCLUDE
46934,houses,tabarena_v0.1,False,,,,,,,EXCLUDE
46935,HR_Analytics_Job_Change_of_Data_Scientists,tabarena_v0.1,False,,,,,,,EXCLUDE
46937,in_vehicle_coupon_recommendation,tabarena_v0.1,False,,,,,,,EXCLUDE
46938,Is-this-a-good-customer,tabarena_v0.1,False,,,,,,,EXCLUDE
46939,kddcup09_appetency,tabarena_v0.1,False,,,,,,,EXCLUDE
46940,Marketing_Campaign,tabarena_v0.1,False,,,,,,,EXCLUDE
46941,maternal_health_risk,tabarena_v0.1,False,,,,,,,EXCLUDE
46942,miami_housing,tabarena_v0.1,False,,,,,,,EXCLUDE
46947,online_shoppers_intention,tabarena_v0.1,False,,,,,,,EXCLUDE
46949,physiochemical_protein,tabarena_v0.1,False,,,,,,,EXCLUDE
46950,polish_companies_bankruptcy,tabarena_v0.1,False,,,,,,,EXCLUDE
46952,qsar-biodeg,tabarena_v0.1,True,,,,KEEP,tabarena_v0.1_curated_iid_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR,KEEP
46953,QSAR-TID-11,tabarena_v0.1,False,,,,,,,EXCLUDE
46954,QSAR_fish_toxicity,tabarena_v0.1,False,,,,,,,EXCLUDE
46955,SDSS17,tabarena_v0.1,False,,,,,,,EXCLUDE
46956,seismic-bumps,tabarena_v0.1,False,,,,,,,EXCLUDE
46958,splice,tabarena_v0.1,False,,,,,,,EXCLUDE
46960,students_dropout_and_academic_success,tabarena_v0.1,False,,,,,,,EXCLUDE
46961,superconductivity,tabarena_v0.1,False,,,,,,,EXCLUDE
46962,taiwanese_bankruptcy_prediction,tabarena_v0.1,False,,,,,,,EXCLUDE
46963,website_phishing,tabarena_v0.1,False,,,,,,,EXCLUDE
46964,wine_quality,tabarena_v0.1,False,,,,,,,EXCLUDE
46969,NATICUSdroid,tabarena_v0.1,False,,,,,,,EXCLUDE
46979,jm1,tabarena_v0.1,False,,,,,,,EXCLUDE
46980,MIC,tabarena_v0.1,False,,,,,,,EXCLUDE
